,fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad
4746,16 ene 2007,1.2937,1.2988,1.2913,1.292,1.292,,0.10822194786640806
4488,16 ene 2008,1.4802,1.4859,1.4611,1.4664,1.4664,,0.14979088089733664
4245,16 ene 2009,1.3162,1.3334,1.315,1.3292,1.3292,,0.09967447015159128
3464,16 ene 2012,1.2648,1.2683,1.2629,1.2647,1.2647,,0.0959812585872914
3203,16 ene 2013,1.331,1.3327,1.3261,1.3308,1.3308,,0.07761315610127363
2943,16 ene 2014,1.3601,1.3648,1.3588,1.3599,1.3599,,0.07369555617539479
2682,16 ene 2015,1.1639,1.165,1.1464,1.1637,1.1637,,0.07854694774464728
2161,16 ene 2017,1.0627,1.0633,1.0581,1.0629,1.0629,,0.12283326096786637
1902,16 ene 2018,1.227,1.2281,1.2197,1.2268,1.2268,,0.12181546289367336
1641,16 ene 2019,1.1414,1.1422,1.1379,1.1417,1.1417,,0.11112407479929641
1381,16 ene 2020,1.1153,1.1172,1.113,1.1154,1.1154,,0.06046970315785613
599,16 ene 2023,1.0825,1.0875,1.0803,1.0825,1.0825,,0.06401806776214904
338,16 ene 2024,1.0946,1.0947,1.0867,1.0946,1.0946,,0.057457593057829666
77,16 ene 2025,1.0295,1.0312,1.0264,1.0295,1.0295,,0.04188726536787568
5505,16 feb 2004,1.273,1.279,1.2722,1.2765,1.2765,,0.09321295510817725
5244,16 feb 2005,1.3014,1.3052,1.2968,1.3023,1.3023,,0.12358455405106009
4984,16 feb 2006,1.1882,1.1911,1.1853,1.1907,1.1907,,0.11653245041618056
4723,16 feb 2007,1.3133,1.3147,1.3103,1.3138,1.3138,,0.11819470377305384
4224,16 feb 2009,1.2794,1.282,1.2732,1.2799,1.2799,,0.04836225801180468
3963,16 feb 2010,1.3597,1.3778,1.3592,1.3767,1.3767,,0.06738176311139782
3702,16 feb 2011,1.3496,1.3568,1.3465,1.3499,1.3499,,0.07226624384870584
3441,16 feb 2012,1.3058,1.3058,1.298,1.3058,1.3058,,0.038146913374489534
2661,16 feb 2015,1.1397,1.1435,1.1397,1.14,1.14,,0.09213508018122374
2400,16 feb 2016,1.1178,1.1192,1.113,1.1174,1.1174,,0.12094677755112061
2138,16 feb 2017,1.0602,1.0675,1.0601,1.0607,1.0607,,0.12585071712151555
1879,16 feb 2018,1.2507,1.2558,1.2431,1.2504,1.2504,,0.10049994029848747
1098,16 feb 2021,1.2132,1.2171,1.2096,1.2132,1.2132,,0.07584634467131154
837,16 feb 2022,1.1356,1.1393,1.1345,1.1357,1.1357,,0.07610188565337513
576,16 feb 2023,1.0692,1.0722,1.0656,1.0692,1.0692,,0.08469871899857348
315,16 feb 2024,1.0774,1.0781,1.0734,1.0774,1.0774,,0.08073866483909267
5396,16 jul 2004,1.2358,1.246,1.2333,1.2456,1.2456,,0.07924905046749353
4617,16 jul 2007,1.3774,1.3804,1.3767,1.3777,1.3777,,0.13052611616071172
4361,16 jul 2008,1.59,1.5946,1.5806,1.5822,1.5822,,0.21626257651290567
4116,16 jul 2009,1.4106,1.4161,1.4059,1.4141,1.4141,,0.1893681995478675
3855,16 jul 2010,1.2922,1.3004,1.2894,1.2932,1.2932,,0.13001708733855455
3334,16 jul 2012,1.2249,1.2274,1.2177,1.2249,1.2249,,0.1356748945089005
3074,16 jul 2013,1.3061,1.3153,1.3054,1.3059,1.3059,,0.1395154937632418
2814,16 jul 2014,1.3572,1.3572,1.3526,1.3572,1.3572,,0.07105507019207556
2553,16 jul 2015,1.0939,1.095,1.0859,1.0944,1.0944,,0.10148052522528758
1773,16 jul 2018,1.1679,1.1726,1.1677,1.1679,1.1679,,0.10513136068747522
1513,16 jul 2019,1.1261,1.1266,1.1209,1.1262,1.1262,,0.11513291015170177
1251,16 jul 2020,1.1417,1.1443,1.138,1.1417,1.1417,,0.1039268829514267
990,16 jul 2021,1.1813,1.1823,1.1794,1.1812,1.1812,,0.034360398717116845
208,16 jul 2024,1.0902,1.0906,1.0872,1.0902,1.0902,,0.03584289329838257
5418,16 jun 2004,1.2166,1.2168,1.1987,1.2007,1.2007,,0.04397527714522444
